epoch,train_loss,train_acc,train_precision,train_recall,train_f1,test_loss,test_acc,test_precision,test_recall,test_f1
1,2.30227055885136,0.10488333333333333,0.039206392274519136,0.10123153667109515,0.04695564458951018,2.3001217993961016,0.1135,0.01135,0.1,0.0203861697350696
2,2.2982090282033503,0.11236666666666667,0.011236666666666667,0.1,0.020203170417428307,2.294584508154802,0.1135,0.01135,0.1,0.0203861697350696
3,2.258350762604142,0.17515,0.5291782859284652,0.16315539197177698,0.10650976903326899,2.0093067914816984,0.3574,0.5442048474485123,0.3467377245969361,0.27796626989951706
4,0.7541835106798073,0.7789,0.7788850719199228,0.7745081419735612,0.7728116623196015,0.41611025952229835,0.8702,0.873639110351113,0.8690565655989986,0.8678462171536052
5,0.35150459481041824,0.8924333333333333,0.8912159142538082,0.8909246392362812,0.8909558116493489,0.288717292059379,0.9116,0.911617915664596,0.9110561865343525,0.9101629111279841
6,0.2665696347684367,0.9174666666666667,0.9165072462481767,0.916327357330311,0.9163690050819951,0.2351015546970117,0.9265,0.9273095051045903,0.9263091728312818,0.9256267652565153
7,0.2176154551745605,0.9331166666666667,0.9323616976267448,0.9322811463513799,0.932296282841144,0.18972040916300692,0.9394,0.9396488230846094,0.9391748529930496,0.9385993291421488
8,0.18425953178120447,0.9431666666666667,0.9425953951140201,0.9425150030633093,0.94254164873151,0.1547565310066388,0.952,0.9514492758471038,0.9517007760266853,0.9514074227701098
9,0.1616201043399031,0.95035,0.9499077317826636,0.949864564283296,0.9498766568153746,0.15944493577257984,0.9496,0.9500899173787596,0.94928977589115,0.9490123439571517
10,0.14181359480423078,0.9565666666666667,0.9561556088454666,0.9561643025764075,0.956150885272168,0.16633119328232232,0.9489,0.9506397267890943,0.9486452265718975,0.948670309203037
