epoch,train_loss,train_acc,train_precision,train_recall,train_f1,test_loss,test_acc,test_precision,test_recall,test_f1
1,0.28563285744123496,0.9181166666666667,0.9175723399889867,0.9169962738590968,0.9171102581476422,0.11230241932022343,0.9656,0.9657271821402708,0.9654509160211553,0.9655015377840451
2,0.09526217786291404,0.9711,0.9708651004564436,0.9708990347419532,0.9708776254809418,0.07403001947636911,0.9762,0.975938598247206,0.9764705141982967,0.9761309987576148
3,0.06395395642465679,0.98005,0.9799080371960706,0.9799402741687138,0.9799209617950011,0.05576510437850241,0.9818,0.9818776876126917,0.9814552597198707,0.9816153696239016
4,0.05060526243657239,0.98425,0.9841566698264298,0.9841569029642601,0.9841550807516708,0.051518223645680164,0.9835,0.9834738080886835,0.9834848448279763,0.9834596163373286
5,0.0409604819634977,0.9876,0.9875229106953596,0.9874941784046806,0.9875074573391573,0.0583637090795451,0.9819,0.9818395534028962,0.9818449595771186,0.9817546785139502
6,0.037222353884997936,0.98815,0.9881072664235271,0.9880764458566469,0.9880911299181087,0.05355261025466855,0.982,0.9821225065358632,0.9818855970586421,0.9819080594124745
7,0.0319996899168721,0.9894,0.9893851338192334,0.9893625410496926,0.9893730869060882,0.04526487474643424,0.9869,0.9870255606501548,0.9866281306196065,0.9867803415161986
8,0.027614572257860185,0.9914833333333334,0.9914634708951541,0.9914614420300909,0.9914622302095776,0.04260853616026553,0.9865,0.9866162797865238,0.986336920297488,0.9864295546499914
9,0.024969776728105342,0.9921333333333333,0.9921407986553913,0.9921200257412786,0.992130032036848,0.04259059282693015,0.9859,0.9857703289463908,0.9860211289603333,0.985866872198466
10,0.022509627941455234,0.9926666666666667,0.9926339909880154,0.9926064329351961,0.9926197495405192,0.038464208863338956,0.9871,0.9870765152873379,0.9869536372830388,0.9870030354718452
